country;variable;percentile;year;value;age;pop
US-MI;sptinc992t;p99p99.5;1917;0.0265;992;t
US-MI;sptinc992t;p99p99.5;1918;0.0261;992;t
US-MI;sptinc992t;p99p99.5;1919;0.0308;992;t
US-MI;sptinc992t;p99p99.5;1920;0.0306;992;t
US-MI;sptinc992t;p99p99.5;1921;0.0361;992;t
US-MI;sptinc992t;p99p99.5;1922;0.0359;992;t
US-MI;sptinc992t;p99p99.5;1923;0.034499999;992;t
US-MI;sptinc992t;p99p99.5;1924;0.035999998;992;t
US-MI;sptinc992t;p99p99.5;1925;0.039999999;992;t
US-MI;sptinc992t;p99p99.5;1926;0.041200001;992;t
US-MI;sptinc992t;p99p99.5;1927;0.039700001;992;t
US-MI;sptinc992t;p99p99.5;1928;0.041299999;992;t
US-MI;sptinc992t;p99p99.5;1929;0.037599999;992;t
US-MI;sptinc992t;p99p99.5;1930;0.034499999;992;t
US-MI;sptinc992t;p99p99.5;1931;0.034000002;992;t
US-MI;sptinc992t;p99p99.5;1932;0.033500001;992;t
US-MI;sptinc992t;p99p99.5;1933;0.036499999;992;t
US-MI;sptinc992t;p99p99.5;1934;0.035300002;992;t
US-MI;sptinc992t;p99p99.5;1935;0.035500001;992;t
US-MI;sptinc992t;p99p99.5;1936;0.040600002;992;t
US-MI;sptinc992t;p99p99.5;1937;0.036899999;992;t
US-MI;sptinc992t;p99p99.5;1938;0.0363;992;t
US-MI;sptinc992t;p99p99.5;1939;0.037500001;992;t
US-MI;sptinc992t;p99p99.5;1940;0.0383;992;t
US-MI;sptinc992t;p99p99.5;1941;0.0374;992;t
US-MI;sptinc992t;p99p99.5;1942;0.032699998;992;t
US-MI;sptinc992t;p99p99.5;1943;0.0296;992;t
US-MI;sptinc992t;p99p99.5;1944;0.0305;992;t
US-MI;sptinc992t;p99p99.5;1945;0.032499999;992;t
US-MI;sptinc992t;p99p99.5;1946;0.0341;992;t
US-MI;sptinc992t;p99p99.5;1947;0.026000001;992;t
US-MI;sptinc992t;p99p99.5;1948;0.0297;992;t
US-MI;sptinc992t;p99p99.5;1949;0.0284;992;t
US-MI;sptinc992t;p99p99.5;1950;0.031199999;992;t
US-MI;sptinc992t;p99p99.5;1951;0.031800002;992;t
US-MI;sptinc992t;p99p99.5;1952;0.027899999;992;t
US-MI;sptinc992t;p99p99.5;1953;0.0273;992;t
US-MI;sptinc992t;p99p99.5;1954;0.0284;992;t
US-MI;sptinc992t;p99p99.5;1955;0.0266;992;t
US-MI;sptinc992t;p99p99.5;1956;0.0307;992;t
US-MI;sptinc992t;p99p99.5;1957;0.0283;992;t
US-MI;sptinc992t;p99p99.5;1958;0.0273;992;t
US-MI;sptinc992t;p99p99.5;1959;0.0265;992;t
US-MI;sptinc992t;p99p99.5;1960;0.0264;992;t
US-MI;sptinc992t;p99p99.5;1961;0.028200001;992;t
US-MI;sptinc992t;p99p99.5;1962;0.0275;992;t
US-MI;sptinc992t;p99p99.5;1963;0.0273;992;t
US-MI;sptinc992t;p99p99.5;1964;0.0283;992;t
US-MI;sptinc992t;p99p99.5;1965;0.030200001;992;t
US-MI;sptinc992t;p99p99.5;1966;0.028100001;992;t
US-MI;sptinc992t;p99p99.5;1967;0.029200001;992;t
US-MI;sptinc992t;p99p99.5;1968;0.0285;992;t
US-MI;sptinc992t;p99p99.5;1969;0.028000001;992;t
US-MI;sptinc992t;p99p99.5;1970;0.027100001;992;t
US-MI;sptinc992t;p99p99.5;1971;0.027100001;992;t
US-MI;sptinc992t;p99p99.5;1972;0.026799999;992;t
US-MI;sptinc992t;p99p99.5;1973;0.025699999;992;t
US-MI;sptinc992t;p99p99.5;1974;0.027899999;992;t
US-MI;sptinc992t;p99p99.5;1975;0.0261;992;t
